id,name,vendor,amount,date
1,Priya,VendorOne,250,2025-06-13
2,Mike,VendorOne,,2026-05-02
3,Chen,VendorOne,100,2025-10-26
4,Sarah,AcmeCorp,,2026-04-19
5,Chen,VendorOne,100,2026-02-10
6,Sarah,,300,2026-10-15
7,Maria,AcmeCorp,,2026-01-05
8,Luis,,250,2025-06-10
9,Priya,DataStreamX,100,2025-01-20
10,Luis,,250,2025-12-14
11,Chen,AcmeCorp,N/A,2025-05-19
12,Sarah,CloudMetrics,250,2026-06-25
13,Ana,,100,2026-03-23
14,Mike,AcmeCorp,500.75,2025-11-13
15,Ana,CloudMetrics,250,2026-06-16
16,Sarah,,100,2025-04-18
17,Priya,,N/A,2025-08-19
18,Sarah,AcmeCorp,N/A,2025-01-16
19,Sarah,,,2026-06-01
20,Luis,CloudMetrics,N/A,2025-11-06
21,Priya,DataStreamX,N/A,2025-11-22
22,Priya,CloudMetrics,100,2025-01-09
23,Mike,AcmeCorp,300,2025-04-19
24,Priya,AcmeCorp,100,2025-10-22
25,Priya,DataStreamX,500.75,2025-01-19
26,Maria,CloudMetrics,100,2026-07-17
27,Priya,CloudMetrics,100,2026-12-20
28,Ana,DataStreamX,100,2026-12-24
29,Priya,DataStreamX,N/A,2025-07-19
30,Luis,VendorOne,N/A,2026-06-23
31,John,AcmeCorp,,2026-03-22
32,John,DataStreamX,N/A,2025-05-29
33,Maria,DataStreamX,100,2025-12-20
34,Sarah,DataStreamX,300,2026-06-07
35,Sarah,AcmeCorp,250,2025-08-10
36,Maria,CloudMetrics,500.75,2026-02-18
37,Sarah,CloudMetrics,100,2025-06-18
38,Priya,DataStreamX,300,2026-09-28
39,Sarah,CloudMetrics,N/A,2025-03-05
40,Chen,,300,2025-11-02
41,Chen,DataStreamX,250,2025-12-19
42,Chen,DataStreamX,N/A,2026-04-15
43,Sarah,VendorOne,,2026-11-14
44,Luis,DataStreamX,250,2026-08-28
45,Mike,CloudMetrics,250,2025-11-27
46,Ana,DataStreamX,300,2025-07-31
47,Chen,AcmeCorp,100,2025-01-25
48,Sarah,AcmeCorp,100,2026-11-11
49,Luis,VendorOne,100,2025-10-28
